name,address,hours
B&B Coffee House,"ул. Кары-Ниязи, 61, Мирзо-Улугбекский район",08:00-23:00
B&B Coffee House,"ул. Фидокор, 25, Мирабадский район",08:00-23:00
B&B Coffee House,"ул. Буюк Ипак Йули, 2, Мирзо-Улугбекский район",08:00-02:00
B&B Coffee House,"ул. Шота Руставели, 30А, Яккасарайский район",08:00-22:00
Baden - Pub & Restaurant,"ул. Шифонур, 8, Олмазорский район",11:00-23:00
Bagration,"ул. Мирабад, 40, Яккасарайский район",11:00-23:00
Bahor,"ул. Истикбол, 8, Мирабадский район",08:00-02:00
Baktra,"Чиланзар-5, 2, Чиланзарский район",11:00-00:00
Balcon,"Юнусабад-11, Юнусабадский район",
Bamboo Dimsum,"ул. Тараса Шевченко, 32, Мирабадский район",
Banquette Hall,"ул. Кичик Халка Йули, 101б, Олмазорский район",10:00-23:00
Baqqol Restaurant & Lounge Bar,"ул. Таффакур, 68, Яккасарайский район",
Bar 25,"городской поселок Салар, улица Карамурт, 2 А",16:00-05:00
Bar Villa,"ул. Уйсозлар, 7, Яшнабадский район",
Barbaris,"ул. Абдуллы Каххара, 49, Яккасарайский район",11:30-23:00
Barbeque Burger,"ул. Кораташ, 5А, Шайхантахурский район",10:00-23:00
Barbeque Burger,"ул. Зарафшон, 1, Мирабадский район",
Barbeque Burger,"Ц-1, ул. Узбекистон Овози, 21, Мирзо-Улугбекский район",10:00-22:00
Barbeque Burger,"ул. Буюк Ипак Йули, 105А, Мирзо-Улугбекский район",10:00-22:00
Barbeque Burger,"ул. Бабура, 6, Шайхантахурский район",10:00-22:00
Barbeque Burger,"ул. Ахмада Дониша, 2Б, Юнусабадский район",10:00-22:00
Barbeque Burger,"ул. Катартал, 60, Чиланзарский район",
Barbeque Burger,"ул. Буюк Ипак Йули, 105А, Мирзо-Улугбекский район",10:00-22:00
BarBoss,"ул. Шота Руставели, 105, Яккасарайский район",21:00-06:00
Barcode,"просп. Амира Темура, 129, Юнусабадский район",23:00-05:00
BarDuck,"ул. Матбуотчилар, 17, Юнусабадский район",
Baritone Karaoke,"ул. Мукими, 142/2, Чиланзарский район",11:00-23:00
Barlos,"просп. Алишера Навои, 26, Шайхантахурский район",
Barocco,"ул. Кичик Халка Йули, 5А, Олмазорский район",
Barracuda sushi & grill,"ул. Ифтихор, 1, Юнусабадский район",11:00-23:00
Barrel's Drink & Music,"ул. Тараса Шевченко, 32, Мирабадский район",12:00-02:00
BarResto,"просп. Амира Темура, 54, Юнусабадский район",
Barvixa Club,"ул. Султанали Машхадий, 210, Яшнабадский район",
Basilic,"просп. Амира Темура, 19, Юнусабадский район",11:00-03:00
Baskin Robbins,"пересечение ул. Махтумкули и ул. Кичик Халка Йули, Яшнабадский район",
Baskin Robbins,"ул. Кораташ, 5А, Шайхантахурский район",
Baskin Robbins,"ул. Бабура, 6, Яккасарайский район",10:00-22:00
Baskin Robbins,"ул. Кары Ниязова, 61, Мирзо-Улугбекский район",08:45-23:00
Baskin Robbins,"просп. Ислама Каримова, Шайхантахурский район",
Basri Baba,"ул. Ниёзбек, 6-й проезд, 16, Мирзо-Улугбекский район",10:00-23:00
Batut Food,"ул. Мирабад, 41/6, Мирабадский район",10:00-22:00
Bavaria Plaza,"ул. Бабура, 21А, Яккасарайский район",12:00-23:00
Bayan Shirin,"ул. Гафура Гуляма, 2А, Шайхантахурский район",10:00-23:00
Beer Garden Bar&Grill,"ул. Темирчи, 1, Яшнабадский район",18:00-23:00
Beer Loga Bar,"ул. Аския, 20, Яккасарайский район",
Behruz,"ул. Алтынтепа, 28, Яшнабадский район",11:00-23:00
Belle Maman,"ул. Шахрисабз, 34, Мирзо-Улугбекский район",
Bellissimo Pizza,"ул. Мирабад, 35, Мирабадский район",10:00-02:30
Bellissimo Pizza,"ул. Садыка Азимова, 43, Мирзо-Улугбекский район",10:00-02:30
Bellissimo Pizza,"ул. Бабура, 6, Яккасарайский район",10:00-02:30
Bellissimo Pizza,"ул. Буюк Ипак Йули, 111-117, Мирзо-Улугбекский район",10:00-02:30
Bellissimo Pizza,"Чиланзар-Ц, ул. Катартал, Чиланзарский район",
Bellissimo Pizza,"ул. Кораташ, 5, Шайхантахурский район",10:00-02:30
Beluga,"ул. Султанали Машхади, 66, Яшнабадский район",11:00-00:00
Benedict,"ул. Нукус, 31/2, Мирабадский район",
Berry Italia,"ул. Узбекистон Овози, 39, Мирзо-Улугбекский район",10:00-23:00
Besh Chinor,"ул. Мукими, 92А, Яккасарайский район",10:00-23:00
Beshbarmak №1,"просп. Амира Темура, 1, Мирзо-Улугбекский район",10:00-23:00
Bianco Nero,"ул. Кичик Халка Йули, 87, Яккасарайский район",09:00-04:00
Bibigon,"ул. Хирмонтепа (ул. Никитина), 34, Мирзо-Улугбекский район",09:00-23:00
Bibigon,"ул. Академика Гулямова, 38, Мирзо-Улугбекский район",09:00-23:00
Bibigon,"ул. Фуркат, 15/3, Чиланзарский район",09:00-23:00
Bibigon Pizza,"массив Тузель 2, 24, Яшнабадский район",08:00-23:00
Bier Regen,"ул. Махтумкули, 67, Мирзо-Улугбекский район",11:00-23:00
Big Burger,"ул. Фараби, 448а, Олмазорский район",
Big Burger,"ул. Ахмада Дониша, 2-Б, Юнусабадский район",
Big Burger,"ул. Буюк Ипак Йули, Мирзо-Улугбекский район",
Big Burger,"ул. Алишера Навои, 11-Б, Шайхантахурский район",
Big Burger,"просп. Бунёдкор, 47, Чиланзарский район",
Big Burger,"ул. Садыка Азимова, 52А, Яшнабадский район",
Big Way,"ул. Лутфи, 2, Чиланзарский район",
Big Way,"ул. Фархадская, 15/1, Чиланзарский район",
Big Way,"Чиланзар-13, ул. Фархадская, 3А, Чиланзарский район",
Bika Club,"ул. Махтумкули, 45, Юнусабадский район",11:00-23:00
Binket,"ул. Усмана Насыра, 53, Яккасарайский район",10:00-23:00
Bistecca,"ул. Бешёгоч, 10Б, Чиланзарский район",12:00-00:00
Bizone Lounge,"ул. Фурката, 15/3, Чиланзарский район",09:00-23:00
Bla Bla Bar,"ул. Шахрисабз, Мирабадский район",
Black Bear Kofi,"массив Киёт, 43/30, Юнусабадский район",08:00-18:00
Black Bear Kofi,"ул. Шота Руставели, 37, Яккасарайский район",08:00-03:00
Black Bear Kofi,"ул. Тараса Шевченко, 38А, Мирабадский район",08:00-03:00
Black Bear Kofi,"ул. Аккурган, 26, Мирзо-Улугбекский район",09:00-23:00
Black Bear Kofi,"массив Олой, Мирзо-Улугбекский район",09:00-23:00
Black Bear Rosterie,"ул. Оккурган, 26, Мирзо-Улугбекский район",
Black Pool Bar,"ул. Истикбол, 8, Мирабадский район",10:00-23:00
Black Star Burger,"Ц-1, пересечение ул. Садыка Азимова и ул. Тараккиёт, Яшнабадский район",11:00-23:00
Black Star Burger,"пересечение ул. Нурафшон и ул. Себзар, Олмазорский район",
Black Star Burger,"ул. Буюк Ипак Йули, 123, Мирзо-Улугбекский район",
Blaze,"ул. Мирабад, 9 А - 1, Мирабадский район",12:00-01:00
Bobur,"ул. Бобур, 34Д, Яккасарайский район",11:00-23:00
Bochka,"ул. Байкурган, 52, Мирзо-Улугбекский район",18:00-02:00
Bog'i Diyor,"ул. Чиланзар, 50А, Чиланзарский район",11:00-00:00
Bogi Chinor,"ул. Фурката, 33, Шайхантахурский район",09:00-23:00
Bon!,"ул. Фидокор, 40, Мирабадский район",08:00-22:00
Bon!,"ул. Чимкент, 21, Мирабадский район",08:00-22:00
Bon!,"ул. Фидокор, 40, Мирабадский район",08:00-22:00
