name,address,hours
Evos,"ул. Янги Сергели, Сергелийский район",08:00-23:00
Evos,"ул. Фаргона Йули, 17, Бектемирский район",09:00-23:00
Evos,"ул. Фергана, 17, Мирабадский район",08:00-23:00
Evos,"ул. Бабура, 6, Яккасарайский район",08:00-23:00
Evos Extra,"просп. Амира Темура, Юнусабадский район",08:00-23:00
Ezidiyor,"ул. Алмазар, 19, Шайхантахурский район",
F1rst Restaurant,"ул. Фурката, 14, Шайхантахурский район",18:00-04:00
Fa-Sol,"ул. Арнасай, 28/1, Чиланзарский район",18:00-06:00
Fabis Restaurant & Bar,"ул. Таллимаржон, 15Б, Мирабадский район",18:00-02:00
Fabula,"ул. Абдуллы Кадыри, 1, Юнусабадский район",
Family by Chopar,"ул. Яхъё Гулямова, 38, Мирзо-Улугбекский район",10:00-22:00
Family by Chopar – Буюк Ипак Йули,"ул. Буюк Ипак Йули, 154, Мирзо-Улугбекский район",10:00-22:30
Famous,"Лабзак, Anhor Lokomotiv, картодром, 3 этаж, Шайхантахурский район",16:00-02:00
Farovon,"ул. Фараби, 415, Шайхантахурский район",09:00-23:00
Fayz Furor,"ул. Буюк Ипак йули, 105А, Мирзо-Улугбекский район",06:00-23:00
Fish House,"просп. Амира Темура, 112, Юнусабадский район",11:00-23:00
Fishka,"площадь Хамида Алимджана, западная сторона, 1Б, Мирзо-Улугбекский район",
Five,"ул. Лутфкор, Сергелийский район",08:00-23:00
Flagman,"ул. Мукими, 1/1, Чиланзарский район",09:00-23:00
Flavors Multi Cusine Restaurant,"просп. Мирзо Улугбека, 20, Яшнабадский район",11:00-23:00
Food Station,"ул. Ниязбек Йули, 2, Юнусабадский район",
Foody-Roody,"пересечение ул. У.Носира и ул. Бабура, Яккасарайский район",
ForRest,"ул. Фаргона Йули, 13, Яшнабадский район",11:00-00:00
Forrest Havelli,"ул. Фаргона Йули, 13, Яшнабадский район",10:00-23:00
Frango.uz,"ул. Шота Руставели, 63, Яккасарайский район",11:00-23:00
Franklin's BBQ and Steakhouse,"ул. Буюк Ипак Йули, 156А, Мирзо-Улугбекский район",11:00-23:00
Freedom's Lounge,"ул. Янги Сергели, 5, Сергелийский район",00:00-00:00
FreshCa.fe,"ул. Шастри, 15, Мирзо-Улугбекский район",08:00-23:00
Freshmeal,"ул. Осиё, 85, Юнусабадский район",
Furu Bouru,"ул. Саида Барака, 16Б, Мирабадский район",11:00-23:00
Gabrielle Roof,"ул. Хумо, 43А, Яккасарайский район",
Gabrielle Roof,"ул. Шота Руставели, 43, Яккасарайский район",
Gallery Restaurant & Lounge,"ул. Имама Ат-Термези, 8, Яккасарайский район",12:00-03:00
Gamarjoba,"ул. Нукус, 4-й проезд, 90А, Мирабадский район",10:00-23:45
Gamarjoba,"ул. 9 мая, 4, Мирзо-Улугбекский район",10:00-23:45
Gap Bar & Grill,"ул. Инжобод, 32, Юнусабадский район",
Gap Pizza,"просп. Бунёдкор, 18, Чиланзарский район",11:00-00:00
Gap pub,"Лабзак, Ц-13/21, Шайхантахурский район",
Garden,"ул. Новосергелинская, 19, Сергелийский район",
Garden Bar Pool & Restaurant,"Ц-4, просп. Амира Темура, 7/8, Юнусабадский район",08:00-23:00
Gasthaus,"ул. Фаргона Йули, 7, Мирабадский район",12:00-23:00
Gavali Casual food,"пр. Шахрисабзский, 5, Мирабадский район",09:00-23:00
Gavali Coffee,"пр. Шахрисабзский, 5, Мирабадский район",09:00-23:00
Gelato mio,"ул. Шахристанская, Юнусабадский район",10:00-23:00
Gelato mio,"ул. Шарафа Рашидова, 40, Яккасарайский район",08:00-23:00
Gentlemen pub,"ул. Шарафа Рашидова, 60, Юнусабадский район",11:00-23:00
Genuss,"ул. Бабура, 79а, Яккасарайский район",07:00-21:00
Giotto,"массив Буюк Ипак Йули, 33А, Мирзо-Улугбекский район",10:00-23:00
Giotto,"ул. Узбекистон Овози, 6, Мирзо-Улугбекский район",10:00-23:00
Giotto Gourmet,"ул. Тараса Шевченко, 36а, Мирабадский район",09:00-23:00
Giz Galasi,"просп. Бунёдкор, 2, Чиланзарский район",10:00-23:00
Gloria,"ул. Мирабад, 27/12, Мирабадский район",
Gloria Jean’s Coffees,"просп. Амира Темура, 7/8, Юнусабадский район",07:30-23:00
Goal Sport Bar,"ул. Султанали Машхадий, 57, Яшнабадский район",
Goddess Women`s Club,"ул. Кулоктепа, 20Б, Юнусабадский район",
Golden Hill,"ул. Олтинтепа, 354, Мирзо-Улугбекский район",10:00-23:00
GOOD Burgers N Fries,"ул. Ислама Каримова, 17Б, Мирзо-Улугбекский район",10:00-22:00
GooDZone,"ул. Ниёзбек йули, 2, Юнусабадский район",11:00-01:00
Gosht,"ул. Мирабад, 21/1, Мирабадский район",08:00-23:00
Gosht,"ул. Шахрисабз, 42, Мирабадский район",
Gosht Kids,"ул. Мирабад, 21/1, Мирабадский район",08:00-23:00
Gosht фуд-трак,"Бродвей, Юнусабадский район",09:00-22:00
Gosty,"ул. Фидокор, 5А, Яккасарайский район",18:00-01:00
Gotham,"ул. Шота Руставели, 150, Яккасарайский район",15:00-03:00
GPS Greatest Popular Stars,"ул. Шота Руставели, 18, Яккасарайский район",
Grace Garden,"ул. Арай, 10, Ийк-Ота",11:00-23:00
Grammy Tashkent,"просп. Амира Темура, 15, Юнусабадский район",19:00-06:00
Grand Hall,"Юнусабад-11, ул. Янги Шахар, Юнусабадский район",
Grasshopper Par-Bаr,"ул. 2-й проезд Тараккиет, Яшнабадский район",
Greek Food,"ул. Кунаева, 39, Мирабадский район",
Green,"ул. Сугдиёна, 1, Сергелийский район",11:30-23:30
Green Veranda,"Бостанлыкский район, Бельдерсай",
Greens,"ул. Кораташ, 5А, Шайхантахурский район",11:00-22:00
Grill Box,"ул. Кухинур (бывшая ул. Акилова), 54, Яккасарайский район",11:00-23:00
Grillades,"ул. Богишамол, 90, Юнусабадский район",
Gruzin,"ул. Султонали Машхади, 57, Яшнабадский район",12:00-23:00
Gurman Sweets & Foods,"Чиланзар-19, ул. Заргарлик, 41/2, Чиланзарский район",
Gurmania - Family Cafe,"ул. Мирабад, 46/1, Мирабадский район",10:00-22:00
Guru Tandoori,"ул. Саида Барака, 16Б, Мирабадский район",11:00-23:00
Gustar,"просп. Амира Темура, 60, Юнусабадский район",
Gusto Garden Bar,"просп. Амира Темура, С 4-7/8, Юнусабадский район",07:00-23:00
Gustoy lounge,"ул. Ахмада Дониша, 2А, Юнусабадский район",11:00-02:00
Guten Pub,"ул. Мукими, 88, Чиланзарский район",17:00-02:00
Ha Long,"ул. Мирабад, Мирабадский район",
Ha Noi,"улица Чиланзарская, Мирабадский район",10:00-00:00
Halva art cafe shop,"ул. Лабзак, Шайхантахурский район",11:00-23:00
Hammersmith Bar,"ул. Алишера Навои, 1, Шайхантахурский район",
Hanil,"ул. Юсуф Хос Хожиб, 46/1, Яккасарайский район",10:00-23:00
Happy Cakes,"ул. Алишера Навои, 21В, Шайхантахурский район",09:00-20:00
Happy Land,"ул. Ифтихор, 2, Шайхантахурский район",10:00-22:00
Happy Time Cafe,"ул. Саида Барака, 34А, Яккасарайский район",09:00-23:00
Harem Terrace,"ул. Кунаева, 2, Мирабадский район",19:00-00:00
Hebaragi,"ул. Паркенсткая, 7-й тупик, 2, Яшнабадский район",11:00-00:00
High Five Family Karaoke Club,"ул. Чилонзарская, 45, Чиланзарский район",12:00-23:00
History pub,"ул. Буюк Ипак Йули, 62, Мирзо-Улугбекский район",11:00-23:00
Hollywood Restaurant & Lounge Bar,"ул. Буюк Турон, 56, Юнусабадский район",10:00-00:00
Hong Kong,"ул. Байналминал, ТРЦ City Makon, 4-й этаж, Чиланзарский район",18:00-00:00
Hori Japanese,"ул. Тараккиет, 45, Мирзо-Улугбекский район",11:00-02:00
Hot-DogiDog,"ул. Истикбол, 8, Мирабадский район",11:00-23:00
Huber Pub,"ул. Буюк Ипак Йули, 262, Мирзо-Улугбекский район",
Il Canto,"просп. Амира Темура, 1, Юнусабадский район",11:00-23:00
IL Patio,"ул. Тараса Шевченко, 32, Мирабадский район",11:00-23:00
Il Perfetto,"ул. Тараса Шевченко, 30, Мирабадский район",08:00-23:00
Imbir,"ул. Богибустон, 147/6.7, Яккасарайский район",07:00-23:00
Intermezzo Lounge Bar & Restaurant,"просп. Амира Темура, 107А, Юнусабадский район",18:00-23:00
Ipak Yo`li,"ул. Себзор, Олмазорский район",11:00-00:00
Irreplaceable Restaurant and Lounge,"ул. Шота Руставели, 42А, Яккасарайский район",12:00-00:00
IZI Cafe,"ул. Афросиаб, 15/1, Мирабадский район",11:00-23:00
Izumi,"ул. Абдуллы Каххара, 18, Яккасарайский район",12:00-00:00
J brothers Tashkent,"ул. Шахрисабз, 22, Мирабадский район",18:00-02:00
Jack's House,"ул. Бабура, 6, Яккасарайский район",
Java Coffee аnd Bakery,"ул. Ойбека, 18, Мирабадский район",08:00-23:00
Java Kafeinn,"ул. Узбекистон Овози, 2, Мирзо-Улугбекский район",10:00-22:00
Jazz Pub,"ул. Истикбол, 45, Яшнабадский район",11:00-23:00
JeansBar,"ул. Нукус, 90а, Мирабадский район",15:00-00:00
Jiu Zhou,"Чиланзар-1, 4А, Чиланзарский район",
John Jameson Irish Pub,"ул. Фуркат, 14, Чиланзарский район",09:00-23:00
Joints Lounge,"ул. Шахрисабз, 23, Мирабадский район",12:00-00:00
Joy Restaurant & Bar,"ул. Ойбека, 24, Мирабадский район",10:00-02:00
Jum Airport,"Международный Аэропорт Ташкента, Сергелийский район",
Jum кофейня,"ул. У. Носира, 34, Яшнабадский район",12:00-23:00
Jumanji,"ул. Юсуфа Хос Ходжиба, 62/2, Яккасарайский район",12:00-23:00
Jungle Family Club,"Юнусабад-12, 20А, Юнусабадский район",12:00-22:00
Just Tasty,"ул. Яхье Гулямова, Мирзо-Улугбекский район",00:00-00:00
Just Tasty,"Чиланзар-6, 37, Чиланзарский район",00:00-00:00
Kaburgaci Selim Amcanin Sofra Salonu,"ул. Усмана Насыра, 19, Яккасарайский район",
Kafe Bakinka,"ул. Шота Руставели, 104, Яккасарайский район",09:30-22:30
Kaiten Sushi Restaurant,"пересечение ул. Нурафшон и ул. Себзар, Олмазорский район",10:00-23:00
Kaizen,"просп. Мирзо Улугбека, 55, Мирзо-Улугбекский район",12:00-00:00
Karaoke Bar Zapoi,"ул. Тимура Малика, 148, Мирзо-Улугбекский район",
Karaoke Pub,"ул. Кичик Халка йули, 8, Яккасарайский район",16:00-02:00
KaraokeLife,"ул. Буюк Ипак Йули, 105, Мирзо-Улугбекский район",00:00-00:00
Karat,"ул. Нукус, 90А, Мирабадский район",11:00-00:00
Kardinal,"ул. Буюк Ипак Йули, 262, Мирзо-Улугбекский район",
Kashtan Milliy Taomlar,"ул. Абу Сулеймана Банокати, 199, Мирабадский район",11:00-23:00
Kebabish,"ул. Ниёзбек Йули, 2, Юнусабадский район",08:00-18:00
KeFFi,"ул. Байкорган, 6, Яшнабадский район",
Kepsi House,"ул. Кукча Дарвоза, 9А, Учтепинский район",10:00-22:00
Key Town,"ул. Узбекистон Овози, 2, Мирзо-Улугбекский район",11:30-22:00
KFC Uzbekistan,"ул. Узбекистон Овози, 21, Мирзо-Улугбекский район",10:00-23:00
KFC Uzbekistan,"просп. Амира Темура, 41/1, Юнусабадский район",10:00-23:00
KFC Uzbekistan,"массив Хадра, 23, Шайхантахурский район",10:00-23:00
KFC Uzbekistan,"пересечение ул. Истикбол и ул. Шахрисабз, Яшнабадский район",10:00-23:00
KFC Uzbekistan,"ул. ТКАД, Фаргона йули, 17, Бектемирский район",08:00-22:30
KFC Uzbekistan,"ул. Лутфи, 21А, Учтепинский район",10:00-23:00
KFC Uzbekistan,"просп. Темура Малика, 3А, Мирзо-Улугбекский район",10:00-23:00
KFC Uzbekistan,"массив Олмазор, 183А, Чиланзарский район",10:00-23:00
KFC Uzbekistan,"ул. Буюк Ипак йули, 105А, Мирзо-Улугбекский район",08:00-22:30
KFC Uzbekistan,"просп. Бунёдкор, 52/2, Чиланзарский район",
KFC Uzbekistan,"ул. Кораташ, 5А, Шайхантахурский район",
Khachapuri Park,"ул. Дурмон Йули, 9, Мирзо-Улугбекский район",
Khan Chapan,"ул. Уста-Алим, 5, Олмазорский район",12:00-23:00
Khiva,"ул. Алишера Навои, 1А, Юнусабадский район",06:30-22:30
Kim Sat Gat,"ул. Фаргона Йули, 11, Юнусабадский район",
Kizilkum Gold,"просп. Шарафа Рашидова, 16, Мирзо-Улугбекский район",
Klever Pub,"ул. Хамида Мирсалихова, Мирабадский район",12:00-00:00
Kofteci Ramiz,"просп. Бунёдкор, Шайхантахурский район",12:00-22:00
Kofteci Ramiz,"ул. Бабура, 174, Яккасарайский район",
Kofteci Ramiz,"ул. Тимура Малика, 3, Мирзо-Улугбекский район",
Koinot Restaurant,"просп. Амира Темура, 109, Юнусабадский район",
Koreana club,"ул. Кичик Халка Йули, 89, Мирзо-Улугбекский район",12:00-03:00
Korona,"Чиланзар, д.2, кв.5, Чиланзарский район",
Kosebasi,"ул. Фурката, 1A, ЖК Boulevard, Шайхантахурский район",10:00-22:00
Krik,"ул. Шота Руставели, 22А, Яккасарайский район",09:00-18:00
Krusty Krab Burger,"массив Буюк Ипак Йули, 31, Мирзо-Улугбекский район",11:00-23:00
Kuksi house,"Чиланзар-19, 24, Чиланзарский район",
L'Olio,"ул. Саида Барака, 16Б, Мирабадский район",08:00-23:00
L'Opera,"ул. Ислама Каримова, 17, Яккасарайский район",
L’eclair de Matu,"ул. Бабура, 6, Яккасарайский район",
La Cantine Park,"Ц-1, Мирзо-Улугбекский район",09:00-22:00
La Cantine Resto,"ул. Осиё, 3, Юнусабадский район",09:00-23:00
La Marmite Bistro,"ул. Бабура, 6, Яккасарайский район",10:00-22:00
La Marmite Bistro,"ул. Катартал, 28, Чиланзарский район",10:00-22:00
La Plaka Sport Pub & Lounge Bar,"ул. Мирабад, 9А, Яккасарайский район",11:00-23:00
La Provence,"ул. Боткина, 4-й тупик, 29, Яшнабадский район",
La Strada,"ул. Пахтакорская, 5, Шайхантахурский район",
La Terrasse,"ул. Рокат Боши, 23, Яккасарайский район",16:00-05:00
laMiranda,"Чиланзар-16, 11, Чиланзарский район",08:00-23:00
laMiranda,"ул. Авиасозлар, 61, Яшнабадский район",08:00-23:00
laMiranda,"Чиланзар-7, 5, Чиланзарский район",08:00-23:00
laMiranda,"махалля Севинч, 60, Юнусабадский район",08:00-23:00
laMiranda,"ул. Шота Руставели, 66, Яшнабадский район",08:00-23:00
Lancaster-6. Bird in hand,"ул. Шахрисабз, 5, Мирзо-Улугбекский район",11:00-23:00
Lasserre,"ул. Усмана Носира, 22а, Яккасарайский район",18:00-01:00
Latino мясной ресторан,"ул. Северный Алмазар, 10, Олмазорский район",12:00-01:00
Latinos,"ул. Кораташ, 5А, Шайхантахурский район",09:00-18:00
Latte Fresh & Tasty,"ул. Мойкурган, 48, Юнусабадский район",08:00-23:00
Lazgi,"ул. Байналминал, 7, Чиланзарский район",11:00-23:00
Le Buffet,"ул. Шота Руставели, 22, Мирабадский район",08:00-23:00
Le Gourmet Bistro,"просп. Амира Темура, Юнусабадский район",11:00-00:00
Le Kroshe,"ул. Ахмада Дониша, 7, Юнусабадский район",08:00-23:00
Le Kroshe,"Юнусабад-11, 7, Юнусабадский район",09:00-22:00
Le Kroshe,"Юнусабад - 11/7, Юнусабадский район",
Le Kroshe,"ул. Юнуса Раджаби, Яккасарайский район",09:00-22:00
Le Royal Palace,"ул. Абдуллы Кадыри, 1, Юнусабадский район",
Les Ailes - Буюк Ипак Йули,"ул. Буюк Ипак Йули, 123, Мирзо-Улугбекский район",10:00-01:00
Les Ailes - Ойбек,"ул. Шахрисабз, 10Б, Мирабадский район",10:00-23:00
Les Ailes - ТРЦ Nukus,"ул. Кичик Халка Йули, 19, Олмазорский район",10:00-22:00
Les Ailes - ТРЦ Samarqand Darvoza,"ул. Кораташ, 5А, Шайхантахурский район",10:00-23:00
Les Ailes - ЮАР,"ул. Ахмада Дониша, 80, Юнусабадский район",10:00-23:00
Les Ailes – СРЦ Parus,"ул. Катартал, 60, Чиланзарский район",10:00-23:00
Les Ailes – ТРЦ Atlas,"ул. Катартал, 28, Чиланзарский район",10:00-22:00
Les Ailes – ТРЦ Compass,"ул. ТКАД, Фаргона йули, 17, Бектемирский район",10:00-22:00
Les Ailes – ТРЦ Mega Planet,"ул. Ахмада Дониша, 2Б, Юнусабадский район",10:00-22:00
Les Ailes – ТЦ Чиланзар,"ул. Чиланзар, 2, Чиланзарский район",10:00-23:00
Les Ailes – Ц1,"ул. Садыка Азимова, 52А, Мирзо-Улугбекский район",10:00-03:00
Level,"ул. Тараса Шевченко, 21, Мирабадский район",12:00-02:00
London Pub,"ул. Абдуллы Каххара, 25, Яккасарайский район",
LOOOK,"пересечение ул. Ахмад Даниш и ул. Янги Шахар, 1А, Юнусабадский район",09:00-01:00
LOOOK,"ул. Фархадская, 8А, Чиланзарский район",09:00-01:00
Lovely cake,"ул. Ойбека, 49, Мирабадский район",
Lowbro,"ул. Бешагач, 55, Чиланзарский район",16:00-02:00
LumberJack,"ул. Абдуллы Кодирий, 1, Шайхантахурский район",12:00-23:00
Lumiere,"Шота Руставели 6, 1-ый проезд, Яккасарайский район",07:00-23:00
LUNGO by Cookbook,"просп. Мустакиллик, 6, Юнусабадский район",09:00-22:00
Luxor,"ул. Мукими, 1, Яккасарайский район",
LYCHEE,"ул. Истикбол, 8, Мирабадский район",
"M-bar, Moto Bar","ул. Олтин Тепа, 278, Мирзо-Улугбекский район",18:00-23:00
Madbrick,"ул. Ислама Каримова, 13, Мирабадский район",14:00-23:00
Madeira,"ул. Хуршид, 85, Юнусабадский район",12:00-00:00
Magic Pizza,"ул. Заргарлик, 46А, Чиланзарский район",08:00-23:00
Magna,"ул. Яккачинар, 3, Мирабадский район",09:00-21:00
Mahalla by Shosh,"просп. Ислама Каримова, Шайхантахурский район",19:00-01:00
Mahalla by Shosh,"ул. Ислама Каримова, 2, отель Hilton Tashkent City, 1-й этаж, Шайхантахурский район",19:00-23:00
Mahmood Kabob,"массив Хадра, 1, Шайхантахурский район",
Main Street,"ул. Ислама Каримова, 8, Чиланзарский район",
Main Street cafe,"ул. Ислама Каримова, 8, Чиланзарский район",
Make Some Noise,"ул. Ойбека, 24, Мирабадский район",11:00-04:00
Mamma Mia,"Сергели-3, ул. Оби Хает, Сергелийский район",10:00-23:00
Mandarin Bar House,"ул. Узбекистанская, 8/1, Чиланзарский район",11:00-23:00
Manna,"ул. Нукус, 29Б, Мирабадский район",10:30-21:30
Manzana,"ул. Янги Олмазор, 36, Олмазорский район",
Manzur,"ул. Кичик Халка Йули, 41Б, Яккасарайский район",
Maqom bar,"ул. Шарафа Рашидова, 77, Мирабадский район",11:00-02:00
Mar Ice,"Себзор 1, ул. Абдуллы Кадыри, Олмазорский район",
MarAsk,"ул. Абдуллы Кадыри, Олмазорский район",09:00-23:00
Mari Vanna,"ул. Нукус, 89, Мирабадский район",
Mari Vanna,"ул. Нукус, 89, Мирабадский район",
Mario,"просп. Амира Темура, 15, Юнусабадский район",
Marmara,"ул. Шахрисабз, 16А, Мирабадский район",09:00-23:00
Maro,"ул. Кары Ниязова, 66, Мирзо-Улугбекский район",11:00-01:00
Marrakech,"просп. Амира Темура, 1, Юнусабадский район",11:00-00:00
Maryam Dessert House,"ул. Шахрисабз, 10, Мирабадский район",08:00-03:00
Mascot,"Учтепа-25, 1, Учтепинский район",11:00-23:00
Masis,"ул. Султанали Машхадий, 119, Яшнабадский район",11:00-23:00
Matador Steakhouse,"ул. Мирабад, 46, Мирабадский район",
Max Way,"ул. Буюк Ипак Йули, 4, Мирзо-Улугбекский район",08:00-05:00
Max Way,"Юнусабад-3, 2, Юнусабадский район",08:00-05:00
Max Way,"ул. Заркайнар, 2, Олмазорский район",08:00-05:00
Maxim,"ул. Лисунова, 2, Яшнабадский район",09:00-00:00
Maxima Art Cafe & Karaoke,"ул. Кичик бешагач, 135, Мирабадский район",10:00-23:00
Maya Garden,"ул. Усман Насыра, 105, Яккасарайский район",
Mayor Tayyor,"просп. Мирзо Улугбека, 55, Мирзо-Улугбекский район",10:00-22:00
Mazza,"ул. Алишера Навои, проспект, 25, Шайхантахурский район",
Mazzi Xorazm Burger,"просп. Бунёдкор, 8Б, Шайхантахурский район",10:00-22:30
Meat Point,"ул. Катартал, 60, ТРЦ Parus, Чиланзарский район",
MEATme Grill & Bar,"ул. Кичик Бешёгоч, 3B, Яккасарайский район",06:30-23:00
Mengga,"ул. Овози, 2, Le Grand Plaza, Мирзо-Улугбекский район",10:00-23:30
Merhaba Steakhouse,"ул. Янги Куйлик, 18, Мирабадский район",11:00-23:00
Mexico City Restaurant,"ул. Шайхонтохур, 1, Шайхантахурский район",12:00-23:00
Mia Mi,"ул. Кичик Бешагач, 104B, Яккасарайский район",
Midami,"ул. Шота Руставели, 30А, Яккасарайский район",12:00-22:30
Midas Bakery,"ул. Буюк Ипак Йули, 152, Мирзо-Улугбекский район",
Midori Sushi,"ул. Байналминал, 7, Яшнабадский район",09:00-23:00
Miga,"ул. Нукус, 73, Мирабадский район",10:00-21:00
Miras,"просп. Амира Темура, 60, Юнусабадский район",18:00-04:00
Mix Kuxnya,"ул. Буюк Ипак Йули, 62, Мирзо-Улугбекский район",
Mix Pub,"6-й тупик Фаргона йули, 4, Яшнабадский район",10:00-23:00
Moka’s,"просп. Амира Темура, 43, Мирабадский район",08:00-23:00
Mon cheri maision,"ул. Чингиза Айтматова, 72, Юнусабадский район",
Mona Platinum Room's,"ул. Юсуф Хос Ходжи, 69, Яккасарайский район",12:00-23:00
MONA Restaurant & Lounge,"ул. Юсуф Хос Хожиб, 69, Яккасарайский район",08:00-03:00
Moscow Ice Cream,"ул. Матбуотчилар, 9, Мирабадский район",10:00-23:00
Moti,"ул. Афросиаб, 41, Мирабадский район",12:00-02:00
Mozzaika пицца & пироги,"Ц-1, массив Буюк Ипак Йули, 36, Мирзо-Улугбекский район",10:00-22:00
Mr.Smoke,"просп. Мустакиллик, 10, Юнусабадский район",12:00-03:00
MSM Sport bar,"ул. Шота Руставели, 15, Яккасарайский район",
Muhteşem,"ул. Навруз, 22, Янгихаётский район",09:00-02:00
Multi MaFe,"ул. Шокирарык, 58, Сергелийский район",
Multi Mafe Catering,"ул. Беруни, 85, Олмазорский район",
Munchen,"ул. Чиланзарская, 25А, Чиланзарский район",
Muscat,"ул. Мирабад 2, ТРК Kontinent, 2-й этаж, Мирабадский район",12:00-00:00
Music Hall Restobar,"ул. Мирабад, 25, Мирабадский район",
Myoung Ga,"ул. «Узбекистон овози», 2, Мирзо-Улугбекский район",10:00-22:00
Na Nebe,"Ц-5, ул. Хуршида, 57, Юнусабадский район",12:00-23:00
Napoleon Pastry House,"напротив Детского Центра WunderKind, Яшнабадский район",
Nargile Lounge Bar,"площадь Чорсу, 21, Шайхантахурский район",
Nasibam Patisserie,"ул. Кукча, 1, Шайхантахурский район",09:00-23:00
Nemo,"ул. Циолковского, 50, Мирзо-Улугбекский район",
New World,"ул. Бухара, 28, Мирабадский район",09:00-23:00
New Летний сад,"ул. Паркентская, 38, Яшнабадский район",11:00-23:00
Nightcity Lounge Bar,"ул. Янгишахар, 16, Юнусабадский район",14:00-01:00
Nobile,"ул. Гафура Гуляма, 2А, Шайхантахурский район",12:00-00:00
Noodle house Bamboo,"ул. Фаргона Йули, 222/4, Мирабадский район",07:00-23:00
Nori cafe-karaoke,"ул. Мухаммада Юсуфа, 2, Мирзо-Улугбекский район",11:00-00:00
Nota караоке-бар,"массив Ялангач, 23А, Мирзо-Улугбекский район",17:00-04:00
Nur,"ул. Кичик халка, 79, Шайхантахурский район",11:00-23:00
Nurafshon Restaurant,"ул. Северный Алмазар, 17Б, Олмазорский район",06:00-23:00
Obi Hayot,"ул. Джаркурганская, 4, Яшнабадский район",12:00-00:00
Oblacko Lounge,"ул. Сароймулкхоним, 62, Мирзо-Улугбекский район",14:00-02:00
Olimpiya restaurant & cafe,"ул. Шарафа Рашидова, 4А, Чиланзарский район",11:00-23:00
Olivo Restaurant & lounge bar,"ул. Мирабад, 39Б, Шайхантахурский район",10:00-23:00
One More,"просп. Узбекистан, 17, Мирабадский район",18:00-06:00
Only VIBE,"ул. Кичик Миробод, 1, Яккасарайский район",
Onnurichicken,"ул. Мирабад, 8-9, Мирабадский район",10:00-22:00
Oqtepa Lavash,"ул. Фараби, 448А, Олмазорский район",09:00-03:00
Oqtepa Lavash,"Алмазар-2/5, Каракамыш, Олмазорский район",09:00-03:00
Oqtepa Lavash,"Чиланзар-16, просп. Бунёдкор, 18, Чиланзарский район",09:00-03:00
Oqtepa Lavash,"ул. Малая кольцевая дорога, Чиланзарский район",09:00-03:00
Oqtepa Lavash,"Алока, 9, Шайхантахурский район",09:00-03:00
Oqtepa Lavash,"ул. Лутфи, 6, Чиланзарский район",09:00-03:00
Oqtepa Lavash,"Учтепа-26, Чиланзар, ул. Лутфий, 24, Учтепинский район",09:00-03:00
Oqtepa Lavash,"ул. Мингбулок, 13, Мирзо-Улугбекский район",09:00-03:00
Oqtepa Lavash,"ул. Янги Куйлик, 7б, Сергелийский район",09:00-03:00
Oqtepa Lavash,"Мирзо Улугбек-6, Карасу, 19Б, Мирзо-Улугбекский район",09:00-03:00
Oqtepa Lavash,"ул. Коратош, 1Б, Шайхантахурский район",09:00-03:00
Oqtepa Lavash,"ул. Бешкургон, Чиланзарский район",09:00-03:00
Oqtepa Lavash,"просп. Амира Темура, 98, Юнусабадский район",09:00-03:00
Oqtepa Lavash,"Хадра, 7, Шайхантахурский район",09:00-03:00
Oqtepa Lavash,"ул. Чапаната, 3, Чиланзарский район",09:00-03:00
Oqtepa Lavash,"Сергели-VIII, 21А, Сергелийский район",09:00-03:00
Oqtepa Lavash,"ул. Сугалли-ота, Чиланзарский район",09:00-03:00
Oqtepa Lavash,"ул. Буюк Ипак Йули, 250, Мирзо-Улугбекский район",09:00-03:00
Oqtepa Lavash,"ул. Корасув, 4А, Яшнабадский район",09:00-03:00
Oqtepa Lavash,"ул. Янги Сергели, 1, Сергелийский район",09:00-03:00
Oscar,"Юнусабад-8, Юнусабадский район",
Oshclub,"ул. Сарыкульская 2, 4, Мирабадский район",10:00-23:00
OshMakon,"ул. Тараса Шевченко, 8, Мирабадский район",11:00-23:00
Osiyo Elite,"ул. Кораташ, 2, Шайхантахурский район",10:00-23:00
Osiyo Grand,"ул. Абдуллы Кадыри, 5, Шайхантахурский район",
Oskar,"Кулоктепа, Юнусабадский район",
Osteria Café Tashkent,"ул. Ниезбек йули, 1, Юнусабадский район",
Otto,"ул. Шахрисабз, 30А, Мирзо-Улугбекский район",09:00-00:00
Padishax,"ул. Братислава, 2, Яккасарайский район",11:00-00:00
Paffos,"ул. Шахрисабз, 1А, Мирзо-Улугбекский район",11:00-00:00
Pain Paillasse,"ул. Тараса Шевченко, 36А, Мирабадский район",08:00-23:00
Palermo,"Юнусабад-11, 1, Юнусабадский район",11:00-22:00
Panaram’s Restaurant,"просп. Мирзо Улугбека, 2, Мирзо-Улугбекский район",11:00-02:00
PappaRoti,"ул. Кораташ, 5А, Мирабадский район",09:00-23:00
Pappindom,"ул. Ниезбек йули, 3-й проезд, 57, Юнусабадский район",17:00-02:00
Paradise,"Юнусабад-9, Юнусабадский район",
Pasado,"ул. Юсуфа Хос Ходжиба, 72, Яккасарайский район",11:00-23:00
Pasha Bar Garden,"ул. Мирабад, 2, Яккасарайский район",20:00-01:00
Patio кофейня,"ул. Глинки, 45, Яккасарайский район",10:00-23:00
Paul,"просп. Амира Темура, 60, Юнусабадский район",08:00-00:00
Peggy's Wild West Pub,"ул. Султанали Машхадий, 123А, Яшнабадский район",
